Title,Description,Link To Article,Publication Date,Category,Image URL
"India whitewashed 0-3 at home: Something like this will be a very low point of my career, says Rohit Sharma","Set a target of 147, India were all out for 121. The hosts also suffered embarrassing defeats in the first two Tests of the series",https://www.thehindu.com/sport/cricket/india-whitewashed-0-3-at-home-something-like-this-will-be-a-very-low-point-of-my-career-says-rohit-sharma/article68825336.ece,"Sun, 03 Nov 2024 15:24:00 +0530",Cricket,https://th-i.thgim.com/public/incoming/fv5wdb/article68825344.ece/alternates/LANDSCAPE_1200/PTI11_03_2024_000022B.jpg
Ind vs NZ 3rd Test: New Zealand scripts history as India suffers Test series whitewash,Ajaz Patel and Matt Henry could add only three runs to New Zealand's total this morning having resumed at the overnight score of 171/9,https://www.thehindu.com/sport/cricket/india-new-zealand-3rd-test-day-3-updates/article68824913.ece,"Sun, 03 Nov 2024 09:58:39 +0530",Cricket,https://th-i.thgim.com/public/incoming/x4vm1o/article68825176.ece/alternates/LANDSCAPE_1200/PTI11_03_2024_000085A.jpg
"No extra pressure on in-form Barcola, says PSG manager Enrique","The Spaniard said he was relying on all his players when asked about French forward Randal Kolo Muani, who has been linked with a move away from the reigning Ligue 1 champions",https://www.thehindu.com/sport/football/psg-moves-6-points-clear-at-the-top-of-french-league-after-beating-lens-1-0/article68824890.ece,"Sun, 03 Nov 2024 09:34:23 +0530",Football,https://th-i.thgim.com/public/incoming/g4x4pe/article68824981.ece/alternates/LANDSCAPE_1200/2024-11-02T161128Z_2014339942_UP1EKB218Z33N_RTRMADP_3_SOCCER-FRANCE-PSG-RCL-REPORT.JPG
Livingstone rises to the occasion as England levels ODI series against West Indies,England finished its successful run chase on 329-5 in the second one-day international with 15 balls remaining,https://www.thehindu.com/sport/cricket/livingstone-rises-to-the-occasion-as-england-levels-odi-series-against-west-indies/article68824882.ece,"Sun, 03 Nov 2024 09:23:28 +0530",Cricket,https://th-i.thgim.com/public/incoming/p122at/article68824885.ece/alternates/LANDSCAPE_1200/West_Indies_England_Cricket_98470.jpg
"Morning Digest: MEA calls Canada’s claims against India ‘absurd’; Three militants, LeT ‘commander’, killed in Kashmir, and more",Here is a select list of stories to start the day,https://www.thehindu.com/news/national/morning-digest-november-3-2024/article68823954.ece,"Sun, 03 Nov 2024 06:56:15 +0530",India,https://th-i.thgim.com/public/todays-paper/bt26r4/article68816350.ece/alternates/LANDSCAPE_1200/TH30-AP-Canada-G7TDHBBGN.3.jpg.jpg
Liverpool goes top of Premier League as Man City’s 32-game unbeaten streak ends at Bournemouth,Manchester City’s 32-game unbeaten streak in the Premier League has ended in a 2-1 loss at Bournemouth as Liverpool wrested back the lead in the title race,https://www.thehindu.com/sport/football/liverpool-goes-top-of-premier-league-as-man-citys-32-game-unbeaten-streak-ends-at-bournemouth/article68823812.ece,"Sun, 03 Nov 2024 04:51:00 +0530",Football,https://th-i.thgim.com/public/news/national/houyep/article68823831.ece/alternates/LANDSCAPE_1200/image-17.jpeg
Paris Masters final: Zverev powers past Rune,"World number three Zverev will face either Frenchman Ugo Humbert, who downed world number two Carlos Alcaraz in the last 16, or Russia's Karen Khachanov in Sunday's showpiece.",https://www.thehindu.com/sport/tennis/paris-masters-final-zverev-powers-past-rune/article68823813.ece,"Sun, 03 Nov 2024 04:27:00 +0530",Tennis,https://th-i.thgim.com/public/news/national/yojhgt/article68823827.ece/alternates/LANDSCAPE_1200/image-16.jpeg
PSG moves 6 points clear at top of French league after beating Lens 1-0,"Barcola has been PSG's best attacking player this season. Near the end of the first half, he played a through ball to Marco Asensio but goalkeeper Brice Samba saved his angled shot.",https://www.thehindu.com/sport/football/psg-moves-6-points-clear-at-top-of-french-league-after-beating-lens-1-0/article68823816.ece,"Sun, 03 Nov 2024 04:08:00 +0530",Football,https://th-i.thgim.com/public/news/national/mfx24g/article68823823.ece/alternates/LANDSCAPE_1200/image-15.jpeg
Max Verstappen dropped to 4th in Sao Paulo sprint after latest penalty,"For taking an extra power unit component, Verstappen was given a grid penalty and will start five places back for Sunday's Sao Paulo Grand Prix.",https://www.thehindu.com/sport/max-verstappen-dropped-to-4th-in-sao-paulo-sprint-after-latest-penalty/article68823947.ece,"Sun, 03 Nov 2024 03:06:06 +0530",Sport,https://th-i.thgim.com/public/news/national/wpdyzq/article68823949.ece/alternates/LANDSCAPE_1200/image-22.jpeg
"Malvika Bansod enters women's singles final of Hylo Open, Ayush Shetty crashes out","Malvika will play Denmark's Mia Blichfeldt, seeded seventh, in the title clash.",https://www.thehindu.com/sport/malvika-bansod-enters-womens-singles-final-of-hylo-open-ayush-shetty-crashes-out/article68823811.ece,"Sun, 03 Nov 2024 02:52:00 +0530",Sport,https://th-i.thgim.com/public/news/national/8h5emc/article68823836.ece/alternates/LANDSCAPE_1200/image-18.jpeg
"Geographique should score a hat-trick in the Teena Katrak Memorial R.W.I.T.C. Ltd
Trophy (Gr. 2)",,https://www.thehindu.com/sport/races/geographique-should-score-a-hat-trick-in-the-teena-katrak-memorial-rwitc-ltd-trophy-gr-2/article68822757.ece,"Sun, 03 Nov 2024 00:47:00 +0530",Races,
"Ind vs NZ 3rd Test: One of the better knocks I have played in Tests, says Shubman Gill","The conversation with the coach was just having more repetitions on what I think is the best idea for me to be able to play spinners, says Shubman Gill after the second day of the third test against New Zealand",https://www.thehindu.com/sport/cricket/ind-vs-nz-3rd-test-revisiting-work-done-before-england-series-helped-during-this-knock-says-shubman-gill/article68823102.ece,"Sat, 02 Nov 2024 19:27:52 +0530",Cricket,https://th-i.thgim.com/public/incoming/vj3nz5/article68823128.ece/alternates/LANDSCAPE_1200/20241102012L.jpg
"IND vs NZ third Test: India takes a narrow lead, with the Test poised on a knife’s edge","Pant leads the way with an entertaining knock, while Gill is unlucky to miss his hundred; Azaz once again excels with a five-for to keep the Kiwis in the hunt on a turning track turning hostile for the batters with every passing hour",https://www.thehindu.com/sport/cricket/cricket-india-takes-a-narrow-lead-with-the-test-poised-on-a-knifes-edge/article68822904.ece,"Sat, 02 Nov 2024 19:19:18 +0530",Cricket,https://th-i.thgim.com/public/incoming/slivtb/article68823005.ece/alternates/LANDSCAPE_1200/11908_2_11_2024_10_14_16_3_DSC_3892.JPG
Can’t learn as much from success as I did from failure: Manu Bhaker,,https://www.thehindu.com/sport/cant-learn-as-much-from-success-as-i-did-from-failure-manu-bhaker/article68822943.ece,"Sat, 02 Nov 2024 18:59:27 +0530",Sport,https://th-i.thgim.com/public/incoming/t3b7mt/article68823002.ece/alternates/LANDSCAPE_1200/33_Felicitation_Ceremony_Olympic_02_11_Delhi.jpg
Knotty Legend claims the General Rajendrasinhji Million,,https://www.thehindu.com/sport/races/knotty-legend-claims-the-general-rajendrasinhji-million/article68822864.ece,"Sat, 02 Nov 2024 18:23:36 +0530",Races,
